"p","q","AIC","BIC"
1,1,298.167739487539,305.953099037942
1,2,291.45968301932,301.840162419859
1,3,274.891749822801,287.867349073474
1,4,276.718918439378,292.289637540185
2,1,288.490969082205,298.871448482743
2,2,290.137596731947,303.11319598262
2,3,276.235687389253,291.80640649006
2,4,277.779209077699,295.945048028641
3,1,281.399278007848,294.374877258521
3,2,281.492591802595,297.063310903403
3,3,277.917614194684,296.083453145626
3,4,279.691756645381,300.452715446457
4,1,283.186873425416,298.757592526223
4,2,282.157087359795,300.322926310738
4,3,279.340824636203,300.101783437279
4,4,281.204549630118,304.560628281329
